,targetName,run,blockNum,discreteWorld,perfect,x,y,w,h
0,hand_selected_004,0,0,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,8,0,1,2
1,hand_selected_004,0,1,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,10,0,1,2
2,hand_selected_004,0,2,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [False False  True  True False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [False False  True  True False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,8,2,4,2
3,hand_selected_004,0,3,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [False False False False  True  True False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,9,4,4,2
4,hand_selected_004,0,4,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [False False False False  True  True False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,6,0,2,4
5,hand_selected_004,0,5,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [False False False False  True  True False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,7,4,2,2
6,hand_selected_004,0,6,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True  True False False False False False
  False]
 [False False False False  True  True  True False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,11,6,2,1
7,hand_selected_004,0,7,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True  True  True  True False False False False False
  False]
 [ True  True  True  True  True  True  True False False False False False
  False]
 [False False  True  True  True  True False False False False False False
  False]
 [ True  True  True  True  True  True False False False False False False
  False]
 [False False  True  True  True  True  True False False False False False
  False]
 [False False False False  True  True  True False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,7,6,2,1
8,hand_selected_004,0,8,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True  True  True  True False False False False False
  False]
 [ True  True  True  True  True  True  True False False False False False
  False]
 [False False  True  True  True  True  True  True False False False False
  False]
 [ True  True  True  True  True  True  True  True False False False False
  False]
 [False False  True  True  True  True  True False False False False False
  False]
 [False False False False  True  True  True False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,9,6,2,2
9,hand_selected_004,0,9,"[[False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [ True  True  True  True False False False False False False False False
  False]
 [ True  True  True  True  True  True  True  True False False False False
  False]
 [ True  True  True  True  True  True  True  True False False False False
  False]
 [False False  True  True  True  True  True  True False False False False
  False]
 [ True  True  True  True  True  True  True  True False False False False
  False]
 [False False  True  True  True  True  True False False False False False
  False]
 [False False False False  True  True  True False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]
 [False False False False False False False False False False False False
  False]]",False,7,7,2,1
